id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
794,18:47:08 05-02-2021,18:55:50 05-02-2021,Right Breast,,,,8,Breast Milk,,
793,17:51:32 05-02-2021,18:00:55 05-02-2021,Left Breast,,,,9,Breast Milk,,
792,15:03:51 05-02-2021,15:21:48 05-02-2021,Left Breast,,,,17,Breast Milk,,
790,12:12:21 05-02-2021,12:14:19 05-02-2021,Left Breast,,,,1,Breast Milk,,
789,11:57:01 05-02-2021,12:08:56 05-02-2021,Right Breast,,,,11,Breast Milk,,
788,11:47:31 05-02-2021,11:55:52 05-02-2021,Left Breast,,,,8,Breast Milk,,
787,10:31:27 05-02-2021,10:37:29 05-02-2021,Right Breast,,,,6,Breast Milk,,
786,09:10:51 05-02-2021,09:17:23 05-02-2021,Left Breast,,,,6,Breast Milk,,
785,07:05:19 05-02-2021,07:15:59 05-02-2021,Right Breast,,,,10,Breast Milk,,
784,03:47:36 05-02-2021,03:54:26 05-02-2021,Left Breast,,,,6,Breast Milk,,
783,00:45:40 05-02-2021,00:55:53 05-02-2021,Right Breast,,,,10,Breast Milk,,
782,21:39:37 05-01-2021,21:45:51 05-01-2021,Left Breast,,,,6,Breast Milk,,
781,20:19:35 05-01-2021,20:29:40 05-01-2021,Right Breast,,,,10,Breast Milk,,
780,18:43:00 05-01-2021,18:49:13 05-01-2021,Left Breast,,,,6,Breast Milk,,
778,16:15:10 05-01-2021,16:21:14 05-01-2021,Left Breast,,,,6,Breast Milk,,
777,16:01:41 05-01-2021,16:12:02 05-01-2021,Right Breast,,,,10,Breast Milk,,
776,13:46:13 05-01-2021,13:55:43 05-01-2021,Left Breast,,,,9,Breast Milk,,
775,11:10:05 05-01-2021,11:17:56 05-01-2021,Left Breast,,,,7,Breast Milk,,
774,10:58:01 05-01-2021,11:06:29 05-01-2021,Right Breast,,,,8,Breast Milk,,
773,08:37:39 05-01-2021,08:43:58 05-01-2021,Left Breast,,,,6,Breast Milk,,
772,05:59:09 05-01-2021,06:05:34 05-01-2021,Right Breast,,,,6,Breast Milk,,
771,02:51:15 05-01-2021,03:03:49 05-01-2021,Left Breast,,,,12,Breast Milk,,
770,22:12:03 04-30-2021,22:17:13 04-30-2021,Right Breast,,,,5,Breast Milk,,
769,20:48:53 04-30-2021,21:00:16 04-30-2021,Left Breast,,,,11,Breast Milk,,
768,19:13:55 04-30-2021,19:19:48 04-30-2021,Right Breast,,,,5,Breast Milk,,
767,18:54:47 04-30-2021,19:01:04 04-30-2021,Left Breast,,,,6,Breast Milk,,
766,16:42:39 04-30-2021,16:52:21 04-30-2021,Right Breast,,,,9,Breast Milk,,
765,13:58:33 04-30-2021,14:05:56 04-30-2021,Left Breast,,,,7,Breast Milk,,
764,13:50:52 04-30-2021,13:56:49 04-30-2021,Right Breast,,,,5,Breast Milk,,
763,10:29:13 04-30-2021,10:39:20 04-30-2021,Left Breast,,,,10,Breast Milk,,
762,07:51:58 04-30-2021,07:55:36 04-30-2021,Right Breast,,,,3,Breast Milk,,
761,07:43:43 04-30-2021,07:49:56 04-30-2021,Left Breast,,,,6,Breast Milk,,
760,04:35:04 04-30-2021,04:46:25 04-30-2021,Right Breast,,,,11,Breast Milk,,
759,01:21:17 04-30-2021,01:30:04 04-30-2021,Left Breast,,,,8,Breast Milk,,
758,21:05:51 04-29-2021,21:11:14 04-29-2021,Left Breast,,,,5,Breast Milk,,
757,20:56:53 04-29-2021,21:05:37 04-29-2021,Right Breast,,,,8,Breast Milk,,
756,18:57:20 04-29-2021,19:00:52 04-29-2021,Right Breast,,,,3,Breast Milk,,
755,18:48:18 04-29-2021,18:54:37 04-29-2021,Left Breast,,,,6,Breast Milk,,
754,17:29:21 04-29-2021,17:36:18 04-29-2021,Left Breast,,,,6,Breast Milk,,
752,17:15:21 04-29-2021,17:23:20 04-29-2021,Right Breast,,,,7,Breast Milk,,
751,14:17:57 04-29-2021,14:27:25 04-29-2021,Left Breast,,,,9,Breast Milk,,
750,11:27:39 04-29-2021,11:32:08 04-29-2021,Left Breast,,,,4,Breast Milk,,
749,11:15:46 04-29-2021,11:24:21 04-29-2021,Right Breast,,,,8,Breast Milk,,
748,08:48:30 04-29-2021,08:50:15 04-29-2021,Right Breast,,,,1,Breast Milk,,
747,08:38:39 04-29-2021,08:45:40 04-29-2021,Left Breast,,,,7,Breast Milk,,
746,06:05:37 04-29-2021,06:14:56 04-29-2021,Right Breast,,,,9,Breast Milk,,
745,02:57:39 04-29-2021,03:02:31 04-29-2021,Left Breast,,,,4,Breast Milk,,
744,21:41:33 04-28-2021,21:47:00 04-28-2021,Right Breast,,,,5,Breast Milk,,
743,21:34:49 04-28-2021,21:38:43 04-28-2021,Left Breast,,,,3,Breast Milk,,
742,20:12:03 04-28-2021,20:14:08 04-28-2021,Left Breast,,,,2,Breast Milk,,
741,20:01:28 04-28-2021,20:06:50 04-28-2021,Right Breast,,,,5,Breast Milk,,
740,18:37:24 04-28-2021,18:42:31 04-28-2021,Left Breast,,,,5,Breast Milk,,
739,17:13:18 04-28-2021,17:22:00 04-28-2021,Left Breast,,,,8,Breast Milk,,
738,17:01:56 04-28-2021,17:12:06 04-28-2021,Right Breast,,,,10,Breast Milk,,
737,14:30:39 04-28-2021,14:43:00 04-28-2021,Left Breast,,,,12,Breast Milk,,
736,11:49:31 04-28-2021,11:59:36 04-28-2021,Right Breast,,,,10,Breast Milk,,
735,09:02:09 04-28-2021,09:12:13 04-28-2021,Left Breast,,,,10,Breast Milk,,
734,05:27:03 04-28-2021,05:34:55 04-28-2021,Right Breast,,,,7,Breast Milk,,
733,05:15:04 04-28-2021,05:17:29 04-28-2021,Right Breast,,,,2,Breast Milk,,
732,01:45:01 04-28-2021,01:52:33 04-28-2021,Left Breast,,,,7,Breast Milk,,
731,21:38:22 04-27-2021,21:43:55 04-27-2021,Left Breast,,,,5,Breast Milk,,
730,21:10:18 04-27-2021,21:16:56 04-27-2021,Right Breast,,,,6,Breast Milk,,
729,19:59:14 04-27-2021,20:05:43 04-27-2021,Right Breast,,,,6,Breast Milk,,
728,18:56:33 04-27-2021,19:02:11 04-27-2021,Right Breast,,,,5,Breast Milk,,
727,18:46:51 04-27-2021,18:55:14 04-27-2021,Left Breast,,,,8,Breast Milk,,
726,16:51:12 04-27-2021,16:58:51 04-27-2021,Right Breast,,,,7,Breast Milk,,
725,15:00:08 04-27-2021,15:06:08 04-27-2021,Right Breast,,,,5,Breast Milk,,
724,13:02:56 04-27-2021,13:13:03 04-27-2021,Left Breast,,,,10,Breast Milk,,
723,10:17:15 04-27-2021,10:24:32 04-27-2021,Left Breast,,,,7,Breast Milk,,
722,10:00:49 04-27-2021,10:11:12 04-27-2021,Right Breast,,,,10,Breast Milk,,
721,07:09:05 04-27-2021,07:14:36 04-27-2021,Right Breast,,,,5,Breast Milk,,
720,06:42:17 04-27-2021,06:50:24 04-27-2021,Left Breast,,,,8,Breast Milk,,
719,02:32:56 04-27-2021,02:43:07 04-27-2021,Right Breast,,,,10,Breast Milk,,
718,21:38:03 04-26-2021,21:43:01 04-26-2021,Right Breast,,,,4,Breast Milk,,
717,21:31:46 04-26-2021,21:36:54 04-26-2021,Left Breast,,,,5,Breast Milk,,
716,20:27:16 04-26-2021,20:35:00 04-26-2021,Left Breast,,,,7,Breast Milk,,
715,20:11:46 04-26-2021,20:20:00 04-26-2021,Right Breast,,,,8,Breast Milk,,
714,18:34:02 04-26-2021,18:40:25 04-26-2021,Right Breast,,,,6,Breast Milk,,
713,18:23:45 04-26-2021,18:31:08 04-26-2021,Left Breast,,,,7,Breast Milk,,
712,15:17:56 04-26-2021,15:24:50 04-26-2021,Left Breast,,,,6,Breast Milk,,
711,15:09:53 04-26-2021,15:17:47 04-26-2021,Right Breast,,,,7,Breast Milk,,
710,12:56:48 04-26-2021,13:08:36 04-26-2021,Left Breast,,,,11,Breast Milk,,
709,10:33:22 04-26-2021,10:42:37 04-26-2021,Left Breast,,,,9,Breast Milk,,
708,10:20:42 04-26-2021,10:30:45 04-26-2021,Right Breast,,,,10,Breast Milk,,
707,07:28:24 04-26-2021,07:38:16 04-26-2021,Left Breast,,,,9,Breast Milk,,
705,03:38:54 04-26-2021,03:44:48 04-26-2021,Left Breast,,,,5,Breast Milk,,
704,03:20:25 04-26-2021,03:27:02 04-26-2021,Right Breast,,,,6,Breast Milk,,
703,23:01:25 04-25-2021,23:08:18 04-25-2021,Left Breast,,,,6,Breast Milk,,
702,21:55:59 04-25-2021,22:00:48 04-25-2021,Right Breast,,,,4,Breast Milk,,
701,21:52:16 04-25-2021,21:55:28 04-25-2021,Left Breast,,,,3,Breast Milk,,
699,20:37:08 04-25-2021,20:44:40 04-25-2021,Left Breast,,,,7,Breast Milk,,
698,20:22:31 04-25-2021,20:32:39 04-25-2021,Right Breast,,,,10,Breast Milk,,
697,17:50:29 04-25-2021,17:58:34 04-25-2021,Left Breast,,,,8,Breast Milk,,
696,17:41:46 04-25-2021,17:48:46 04-25-2021,Right Breast,,,,7,Breast Milk,,
695,15:13:56 04-25-2021,15:19:55 04-25-2021,Right Breast,,,,5,Breast Milk,,
694,15:02:36 04-25-2021,15:10:36 04-25-2021,Left Breast,,,,8,Breast Milk,,
693,13:21:14 04-25-2021,13:31:18 04-25-2021,Right Breast,,,,10,Breast Milk,,
692,10:27:52 04-25-2021,10:36:53 04-25-2021,Right Breast,,,,9,Breast Milk,,
691,10:15:01 04-25-2021,10:25:15 04-25-2021,Left Breast,,,,10,Breast Milk,,
690,05:55:35 04-25-2021,06:02:20 04-25-2021,Right Breast,,,,6,Breast Milk,,
689,05:36:06 04-25-2021,05:44:01 04-25-2021,Left Breast,,,,7,Breast Milk,,
688,02:42:25 04-25-2021,02:49:53 04-25-2021,Left Breast,,,,7,Breast Milk,,
687,02:11:05 04-25-2021,02:22:02 04-25-2021,Right Breast,,,,10,Breast Milk,,
686,21:24:20 04-24-2021,21:28:00 04-24-2021,Right Breast,,,,3,Breast Milk,,
685,21:13:36 04-24-2021,21:20:35 04-24-2021,Left Breast,,,,6,Breast Milk,,
684,19:43:54 04-24-2021,19:54:01 04-24-2021,Right Breast,,,,10,Breast Milk,,
683,19:36:06 04-24-2021,19:42:35 04-24-2021,Left Breast,,,,6,Breast Milk,,
682,17:25:30 04-24-2021,17:30:32 04-24-2021,Left Breast,,,,5,Breast Milk,,
681,17:09:03 04-24-2021,17:18:08 04-24-2021,Right Breast,,,,9,Breast Milk,,
680,15:18:49 04-24-2021,15:27:03 04-24-2021,Right Breast,,,,8,Breast Milk,,
679,11:29:26 04-24-2021,11:38:35 04-24-2021,Right Breast,,,,9,Breast Milk,,
678,11:14:55 04-24-2021,11:25:19 04-24-2021,Left Breast,,,,10,Breast Milk,,
676,08:05:29 04-24-2021,08:16:07 04-24-2021,Right Breast,,,,10,Breast Milk,,
675,05:30:49 04-24-2021,05:34:05 04-24-2021,Left Breast,,,,3,Breast Milk,,
674,04:21:13 04-24-2021,04:28:21 04-24-2021,Right Breast,,,,7,Breast Milk,,
673,01:20:58 04-24-2021,01:29:07 04-24-2021,Left Breast,,,,8,Breast Milk,,
672,21:21:51 04-23-2021,21:29:32 04-23-2021,Right Breast,,,,7,Breast Milk,,
671,20:42:31 04-23-2021,20:51:36 04-23-2021,Left Breast,,,,9,Breast Milk,,
670,18:22:56 04-23-2021,18:27:00 04-23-2021,Right Breast,,,,4,Breast Milk,,
669,16:33:13 04-23-2021,16:37:44 04-23-2021,Left Breast,,,,4,Breast Milk,,
668,15:29:39 04-23-2021,15:35:56 04-23-2021,Right Breast,,,,6,Breast Milk,,
667,12:23:27 04-23-2021,12:32:10 04-23-2021,Left Breast,,,,8,Breast Milk,,
666,09:53:44 04-23-2021,10:00:45 04-23-2021,Right Breast,,,,7,Breast Milk,,
665,06:41:06 04-23-2021,06:44:14 04-23-2021,Right Breast,,,,3,Breast Milk,,
664,06:19:32 04-23-2021,06:24:28 04-23-2021,Left Breast,,,,4,Breast Milk,,
663,03:02:12 04-23-2021,03:08:36 04-23-2021,Right Breast,,,,6,Breast Milk,,
662,21:50:57 04-22-2021,21:58:29 04-22-2021,Right Breast,,,,7,Breast Milk,,
661,21:39:07 04-22-2021,21:41:22 04-22-2021,Left Breast,,,,2,Breast Milk,,
660,21:06:42 04-22-2021,21:12:08 04-22-2021,Left Breast,,,,5,Breast Milk,,
659,20:42:08 04-22-2021,20:49:09 04-22-2021,Right Breast,,,,7,Breast Milk,,
658,18:47:14 04-22-2021,18:54:56 04-22-2021,Left Breast,,,,7,Breast Milk,,
657,16:42:13 04-22-2021,17:11:47 04-22-2021,Right Breast,,,,29,Breast Milk,,
656,16:34:12 04-22-2021,16:40:35 04-22-2021,Left Breast,,,,6,Breast Milk,,
655,13:59:21 04-22-2021,14:08:40 04-22-2021,Right Breast,,,,9,Breast Milk,,
654,11:12:22 04-22-2021,11:18:43 04-22-2021,Left Breast,,,,6,Breast Milk,,
652,11:00:47 04-22-2021,11:09:37 04-22-2021,Right Breast,,,,8,Breast Milk,,
651,08:19:59 04-22-2021,08:28:31 04-22-2021,Left Breast,,,,8,Breast Milk,,
650,05:06:52 04-22-2021,05:18:00 04-22-2021,Right Breast,,,,11,Breast Milk,,
649,01:47:27 04-22-2021,01:58:42 04-22-2021,Left Breast,,,,11,Breast Milk,,
648,20:59:11 04-21-2021,21:15:30 04-21-2021,Right Breast,,,,16,Breast Milk,,
647,19:57:56 04-21-2021,20:01:15 04-21-2021,Right Breast,,,,3,Breast Milk,,
646,19:47:32 04-21-2021,19:51:45 04-21-2021,Left Breast,,,,4,Breast Milk,,
645,18:25:01 04-21-2021,18:30:16 04-21-2021,Left Breast,,,,5,Breast Milk,,
644,18:16:30 04-21-2021,18:23:15 04-21-2021,Right Breast,,,,6,Breast Milk,,
643,15:37:22 04-21-2021,15:43:52 04-21-2021,Left Breast,,,,6,Breast Milk,,
642,15:29:40 04-21-2021,15:35:59 04-21-2021,Right Breast,,,,6,Breast Milk,,
641,13:11:47 04-21-2021,13:21:22 04-21-2021,Left Breast,,,,9,Breast Milk,,
640,13:02:52 04-21-2021,13:09:25 04-21-2021,Right Breast,,,,6,Breast Milk,,
639,10:00:43 04-21-2021,10:03:59 04-21-2021,Right Breast,,,,3,Breast Milk,,
638,09:51:29 04-21-2021,09:59:30 04-21-2021,Left Breast,,,,8,Breast Milk,,
637,07:48:59 04-21-2021,07:52:29 04-21-2021,Right Breast,,,,3,Breast Milk,,
636,05:18:43 04-21-2021,05:23:31 04-21-2021,Right Breast,,,,4,Breast Milk,,
635,04:52:25 04-21-2021,04:57:28 04-21-2021,Left Breast,,,,5,Breast Milk,,
634,01:59:40 04-21-2021,02:07:56 04-21-2021,Right Breast,,,,8,Breast Milk,,
633,21:55:54 04-20-2021,22:04:36 04-20-2021,Left Breast,,,,8,Breast Milk,,
632,21:16:13 04-20-2021,21:21:00 04-20-2021,Right Breast,,,,4,Breast Milk,,
631,19:21:04 04-20-2021,19:28:40 04-20-2021,Right Breast,,,,7,Breast Milk,,
630,19:13:21 04-20-2021,19:19:14 04-20-2021,Left Breast,,,,5,Breast Milk,,
629,16:44:01 04-20-2021,16:49:24 04-20-2021,Right Breast,,,,5,Breast Milk,,
628,16:10:41 04-20-2021,16:15:43 04-20-2021,Left Breast,,,,5,Breast Milk,,
626,12:29:25 04-20-2021,12:35:20 04-20-2021,Right Breast,,,,5,Breast Milk,,
625,12:22:55 04-20-2021,12:28:01 04-20-2021,Left Breast,,,,5,Breast Milk,,
624,08:37:50 04-20-2021,08:42:31 04-20-2021,Left Breast,,,,4,Breast Milk,,
623,08:30:11 04-20-2021,08:36:25 04-20-2021,Right Breast,,,,6,Breast Milk,,
622,04:39:57 04-20-2021,04:46:30 04-20-2021,Left Breast,,,,6,Breast Milk,,
621,01:25:27 04-20-2021,01:35:25 04-20-2021,Right Breast,,,,9,Breast Milk,,
620,21:36:42 04-19-2021,21:40:32 04-19-2021,Right Breast,,,,3,Breast Milk,,
619,21:10:58 04-19-2021,21:16:45 04-19-2021,Left Breast,,,,5,Breast Milk,,
618,19:35:12 04-19-2021,19:41:26 04-19-2021,Right Breast,,,,6,Breast Milk,,
617,19:29:08 04-19-2021,19:33:47 04-19-2021,Left Breast,,,,4,Breast Milk,,
616,16:37:20 04-19-2021,16:43:39 04-19-2021,Left Breast,,,,6,Breast Milk,,
614,16:23:52 04-19-2021,16:34:12 04-19-2021,Right Breast,,,,10,Breast Milk,,
613,13:13:56 04-19-2021,13:24:08 04-19-2021,Left Breast,,,,10,Breast Milk,,
612,13:08:36 04-19-2021,13:12:40 04-19-2021,Right Breast,,,,4,Breast Milk,,
611,10:25:48 04-19-2021,10:35:51 04-19-2021,Left Breast,,,,10,Breast Milk,,
610,10:22:30 04-19-2021,10:24:37 04-19-2021,Right Breast,,,,2,Breast Milk,,
608,07:24:52 04-19-2021,07:30:54 04-19-2021,Right Breast,,,,6,Breast Milk,,
607,03:53:05 04-19-2021,04:04:14 04-19-2021,Left Breast,,,,11,Breast Milk,,
606,22:30:05 04-18-2021,22:35:45 04-18-2021,Right Breast,,,,5,Breast Milk,,
605,22:21:59 04-18-2021,22:29:49 04-18-2021,Left Breast,,,,7,Breast Milk,,
604,21:05:53 04-18-2021,21:16:07 04-18-2021,Left Breast,,,,10,Breast Milk,,
603,21:05:26 04-18-2021,21:05:49 04-18-2021,Right Breast,,,,0,Breast Milk,,
602,20:12:43 04-18-2021,20:16:59 04-18-2021,Right Breast,,,,4,Breast Milk,,
601,20:02:17 04-18-2021,20:07:16 04-18-2021,Left Breast,,,,4,Breast Milk,,
600,18:44:18 04-18-2021,18:53:21 04-18-2021,Left Breast,,,,9,Breast Milk,,
599,18:38:30 04-18-2021,18:42:47 04-18-2021,Right Breast,,,,4,Breast Milk,,
598,15:34:53 04-18-2021,15:41:58 04-18-2021,Left Breast,,,,7,Breast Milk,,
597,15:28:15 04-18-2021,15:33:41 04-18-2021,Right Breast,,,,5,Breast Milk,,
596,13:42:20 04-18-2021,13:49:33 04-18-2021,Left Breast,,,,7,Breast Milk,,
595,13:35:26 04-18-2021,13:40:59 04-18-2021,Right Breast,,,,5,Breast Milk,,
594,10:53:44 04-18-2021,11:03:47 04-18-2021,Left Breast,,,,10,Breast Milk,,
593,07:53:57 04-18-2021,08:00:55 04-18-2021,Left Breast,,,,6,Breast Milk,,
592,04:14:54 04-18-2021,04:25:30 04-18-2021,Right Breast,,,,10,Breast Milk,,
591,00:52:21 04-18-2021,00:57:36 04-18-2021,Left Breast,,,,5,Breast Milk,,
590,21:34:36 04-17-2021,21:43:32 04-17-2021,Right Breast,,,,8,Breast Milk,,
589,21:26:37 04-17-2021,21:32:40 04-17-2021,Left Breast,,,,6,Breast Milk,,
588,19:05:35 04-17-2021,19:10:34 04-17-2021,Left Breast,,,,4,Breast Milk,,
587,18:55:03 04-17-2021,19:03:36 04-17-2021,Right Breast,,,,8,Breast Milk,,
586,16:40:49 04-17-2021,16:49:14 04-17-2021,Left Breast,,,,8,Breast Milk,,
585,14:17:50 04-17-2021,14:27:57 04-17-2021,Right Breast,,,,10,Breast Milk,,
583,14:00:16 04-17-2021,14:08:55 04-17-2021,Left Breast,,,,8,Breast Milk,,
582,11:16:48 04-17-2021,11:19:21 04-17-2021,Left Breast,,,,2,Breast Milk,,
581,11:04:35 04-17-2021,11:14:38 04-17-2021,Right Breast,,,,10,Breast Milk,,
580,08:29:03 04-17-2021,08:35:05 04-17-2021,Left Breast,,,,6,Breast Milk,,
579,05:24:32 04-17-2021,05:30:17 04-17-2021,Left Breast,,,,5,Breast Milk,,
578,05:11:01 04-17-2021,05:16:24 04-17-2021,Right Breast,,,,5,Breast Milk,,
576,02:11:11 04-17-2021,02:13:48 04-17-2021,Right Breast,,,,2,Breast Milk,,
575,01:58:52 04-17-2021,02:04:46 04-17-2021,Left Breast,,,,5,Breast Milk,,
574,22:53:43 04-16-2021,22:59:18 04-16-2021,Left Breast,,,,5,Breast Milk,,
573,22:47:02 04-16-2021,22:53:42 04-16-2021,Right Breast,,,,6,Breast Milk,,
572,20:38:00 04-16-2021,20:42:31 04-16-2021,Left Breast,,,,4,Breast Milk,,
571,20:22:08 04-16-2021,20:35:34 04-16-2021,Right Breast,,,,13,Breast Milk,,
570,18:44:30 04-16-2021,18:49:39 04-16-2021,Right Breast,,,,5,Breast Milk,,
569,15:13:35 04-16-2021,15:23:13 04-16-2021,Left Breast,,,,9,Breast Milk,,
568,15:00:13 04-16-2021,15:10:34 04-16-2021,Right Breast,,,,10,Breast Milk,,
567,11:50:38 04-16-2021,12:01:23 04-16-2021,Left Breast,,,,10,Breast Milk,,
566,11:42:36 04-16-2021,11:48:30 04-16-2021,Right Breast,,,,5,Breast Milk,,
565,08:32:35 04-16-2021,08:40:46 04-16-2021,Left Breast,,,,8,Breast Milk,,
564,05:55:17 04-16-2021,06:06:50 04-16-2021,Left Breast,,,,11,Breast Milk,,
563,05:20:53 04-16-2021,05:28:52 04-16-2021,Right Breast,,,,7,Breast Milk,,
562,01:32:09 04-16-2021,01:37:59 04-16-2021,Right Breast,,,,5,Breast Milk,,
561,01:13:50 04-16-2021,01:19:44 04-16-2021,Left Breast,,,,5,Breast Milk,,
559,20:51:35 04-15-2021,20:55:44 04-15-2021,Right Breast,,,,4,Breast Milk,,
560,20:41:50 04-15-2021,20:49:10 04-15-2021,Left Breast,,,,7,Breast Milk,,
557,18:43:26 04-15-2021,18:49:58 04-15-2021,Right Breast,,,,6,Breast Milk,,
556,18:08:35 04-15-2021,18:22:31 04-15-2021,Left Breast,,,,13,Breast Milk,,
555,16:49:19 04-15-2021,16:57:55 04-15-2021,Right Breast,,,,8,Breast Milk,,
554,16:32:59 04-15-2021,16:43:05 04-15-2021,Left Breast,,,,10,Breast Milk,,
553,14:35:57 04-15-2021,14:44:52 04-15-2021,Right Breast,,,,8,Breast Milk,,
552,12:09:24 04-15-2021,12:13:40 04-15-2021,Right Breast,,,,4,Breast Milk,,
551,12:01:54 04-15-2021,12:07:55 04-15-2021,Left Breast,,,,6,Breast Milk,,
550,09:10:55 04-15-2021,09:20:58 04-15-2021,Right Breast,,,,10,Breast Milk,,
549,06:40:06 04-15-2021,06:48:11 04-15-2021,Left Breast,,,,8,Breast Milk,,
548,03:49:42 04-15-2021,03:55:48 04-15-2021,Left Breast,,,,6,Breast Milk,,
547,01:47:50 04-15-2021,01:59:20 04-15-2021,Right Breast,,,,11,Breast Milk,,
546,21:46:16 04-14-2021,21:52:18 04-14-2021,Left Breast,,,,6,Breast Milk,,
545,21:34:45 04-14-2021,21:42:01 04-14-2021,Right Breast,,,,7,Breast Milk,,
544,20:18:03 04-14-2021,20:24:06 04-14-2021,Left Breast,,,,6,Breast Milk,,
543,20:04:03 04-14-2021,20:12:48 04-14-2021,Right Breast,,,,8,Breast Milk,,
542,18:20:25 04-14-2021,18:31:13 04-14-2021,Left Breast,,,,10,Breast Milk,,
541,18:11:24 04-14-2021,18:18:31 04-14-2021,Right Breast,,,,7,Breast Milk,,
540,15:59:21 04-14-2021,16:07:46 04-14-2021,Left Breast,,,,8,Breast Milk,,
539,15:07:08 04-14-2021,15:12:59 04-14-2021,Right Breast,,,,5,Breast Milk,,
538,11:53:08 04-14-2021,12:01:15 04-14-2021,Left Breast,,,,8,Breast Milk,,
537,11:42:14 04-14-2021,11:52:02 04-14-2021,Right Breast,,,,9,Breast Milk,,
536,08:48:35 04-14-2021,08:54:50 04-14-2021,Left Breast,,,,6,Breast Milk,,
535,08:38:06 04-14-2021,08:44:36 04-14-2021,Right Breast,,,,6,Breast Milk,,
534,04:25:40 04-14-2021,04:34:41 04-14-2021,Left Breast,,,,9,Breast Milk,,
533,04:11:14 04-14-2021,04:16:05 04-14-2021,Right Breast,,,,4,Breast Milk,,
532,00:53:01 04-14-2021,00:58:13 04-14-2021,Left Breast,,,,5,Breast Milk,,
531,00:45:53 04-14-2021,00:51:18 04-14-2021,Right Breast,,,,5,Breast Milk,,
530,21:13:08 04-13-2021,21:17:13 04-13-2021,Left Breast,,,,4,Breast Milk,,
