id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
529,20:44:14 04-13-2021,20:52:40 04-13-2021,Right Breast,,,,8,Breast Milk,,
528,18:17:51 04-13-2021,18:23:11 04-13-2021,Left Breast,,,,5,Breast Milk,,
527,18:11:15 04-13-2021,18:15:25 04-13-2021,Right Breast,,,,4,Breast Milk,,
526,14:23:27 04-13-2021,14:28:01 04-13-2021,Left Breast,,,,4,Breast Milk,,
525,14:11:30 04-13-2021,14:19:39 04-13-2021,Right Breast,,,,8,Breast Milk,,
524,08:52:20 04-13-2021,08:58:23 04-13-2021,Right Breast,,,,6,Breast Milk,,
523,08:42:27 04-13-2021,08:49:36 04-13-2021,Left Breast,,,,7,Breast Milk,,
522,05:06:29 04-13-2021,05:08:16 04-13-2021,Left Breast,,,,1,Breast Milk,,
521,04:55:17 04-13-2021,05:00:59 04-13-2021,Right Breast,,,,5,Breast Milk,,
520,01:53:37 04-13-2021,02:02:09 04-13-2021,Left Breast,,,,8,Breast Milk,,
519,01:42:57 04-13-2021,01:50:29 04-13-2021,Right Breast,,,,7,Breast Milk,,
518,21:33:07 04-12-2021,21:40:23 04-12-2021,Left Breast,,,,7,Breast Milk,,
517,20:43:15 04-12-2021,20:50:54 04-12-2021,Right Breast,,,,7,Breast Milk,,
516,20:35:52 04-12-2021,20:43:09 04-12-2021,Left Breast,,,,7,Breast Milk,,
515,18:35:11 04-12-2021,18:44:30 04-12-2021,Right Breast,,,,9,Breast Milk,,
514,18:25:52 04-12-2021,18:29:49 04-12-2021,Left Breast,,,,3,Breast Milk,,
513,16:07:01 04-12-2021,16:14:11 04-12-2021,Right Breast,,,,7,Breast Milk,,
512,16:01:19 04-12-2021,16:05:19 04-12-2021,Left Breast,,,,4,Breast Milk,,
511,13:09:07 04-12-2021,13:18:09 04-12-2021,Left Breast,,,,9,Breast Milk,,
510,11:11:53 04-12-2021,11:17:12 04-12-2021,Right Breast,,,,5,Breast Milk,,
509,08:11:54 04-12-2021,08:19:07 04-12-2021,Left Breast,,,,7,Breast Milk,,
508,08:03:42 04-12-2021,08:09:32 04-12-2021,Right Breast,,,,5,Breast Milk,,
507,06:19:17 04-12-2021,06:24:17 04-12-2021,Right Breast,,,,4,Breast Milk,,
506,02:58:04 04-12-2021,03:06:57 04-12-2021,Left Breast,,,,8,Breast Milk,,
505,21:48:36 04-11-2021,21:53:44 04-11-2021,Right Breast,,,,5,Breast Milk,,
504,21:02:06 04-11-2021,21:11:36 04-11-2021,Left Breast,,,,9,Breast Milk,,
503,19:37:04 04-11-2021,19:46:08 04-11-2021,Right Breast,,,,9,Breast Milk,,
502,17:01:15 04-11-2021,17:12:41 04-11-2021,Left Breast,,,,11,Breast Milk,,
501,14:29:07 04-11-2021,14:38:48 04-11-2021,Right Breast,,,,9,Breast Milk,,
500,11:13:50 04-11-2021,11:28:20 04-11-2021,Left Breast,,,,14,Breast Milk,,
499,08:30:23 04-11-2021,08:37:20 04-11-2021,Right Breast,,,,6,Breast Milk,,
498,08:08:18 04-11-2021,08:13:51 04-11-2021,Right Breast,,,,5,Breast Milk,,
497,04:56:21 04-11-2021,05:03:31 04-11-2021,Left Breast,,,,7,Breast Milk,,
496,02:15:10 04-11-2021,02:21:42 04-11-2021,Right Breast,,,,6,Breast Milk,,
495,21:17:24 04-10-2021,21:24:32 04-10-2021,Left Breast,,,,7,Breast Milk,,
494,20:07:25 04-10-2021,20:15:55 04-10-2021,Left Breast,,,,8,Breast Milk,,
493,17:36:00 04-10-2021,17:51:27 04-10-2021,Right Breast,,,,15,Breast Milk,,
492,14:33:09 04-10-2021,14:45:53 04-10-2021,Left Breast,,,,12,Breast Milk,,
491,11:54:18 04-10-2021,12:01:42 04-10-2021,Right Breast,,,,7,Breast Milk,,
490,09:05:14 04-10-2021,09:10:59 04-10-2021,Left Breast,,,,5,Breast Milk,,
489,06:56:08 04-10-2021,07:01:58 04-10-2021,Right Breast,,,,5,Breast Milk,,
488,04:01:06 04-10-2021,04:09:51 04-10-2021,Left Breast,,,,8,Breast Milk,,
487,00:57:23 04-10-2021,01:03:01 04-10-2021,Right Breast,,,,5,Breast Milk,,
486,21:17:44 04-09-2021,21:27:49 04-09-2021,Left Breast,,,,10,Breast Milk,,
485,19:43:40 04-09-2021,19:58:06 04-09-2021,Left Breast,,,,14,Breast Milk,,
484,17:50:57 04-09-2021,18:04:18 04-09-2021,Right Breast,,,,13,Breast Milk,,
483,17:36:42 04-09-2021,17:39:44 04-09-2021,Right Breast,,,,3,Breast Milk,,
482,17:22:15 04-09-2021,17:36:37 04-09-2021,Right Breast,,,,14,Breast Milk,,
481,15:07:31 04-09-2021,15:15:59 04-09-2021,Left Breast,,,,8,Breast Milk,,
480,12:35:51 04-09-2021,12:47:23 04-09-2021,Right Breast,,,,11,Breast Milk,,
479,09:30:11 04-09-2021,09:33:26 04-09-2021,Left Breast,,,,3,Breast Milk,,
478,09:09:59 04-09-2021,09:20:03 04-09-2021,Right Breast,,,,10,Breast Milk,,
477,06:39:54 04-09-2021,06:47:03 04-09-2021,Left Breast,,,,7,Breast Milk,,
476,04:30:36 04-09-2021,04:40:58 04-09-2021,Right Breast,,,,10,Breast Milk,,
475,02:02:30 04-09-2021,02:08:04 04-09-2021,Left Breast,,,,5,Breast Milk,,
474,23:29:20 04-08-2021,23:37:24 04-08-2021,Right Breast,,,,8,Breast Milk,,
473,20:48:13 04-08-2021,20:55:47 04-08-2021,Left Breast,,,,7,Breast Milk,,
472,18:53:50 04-08-2021,19:03:54 04-08-2021,Right Breast,,,,10,Breast Milk,,
471,17:28:51 04-08-2021,17:39:18 04-08-2021,Right Breast,,,,10,Breast Milk,,
469,14:53:32 04-08-2021,15:05:07 04-08-2021,Left Breast,,,,11,Breast Milk,,
468,11:58:35 04-08-2021,12:06:51 04-08-2021,Right Breast,,,,8,Breast Milk,,
467,08:44:48 04-08-2021,08:54:52 04-08-2021,Left Breast,,,,10,Breast Milk,,
466,05:12:04 04-08-2021,05:18:41 04-08-2021,Right Breast,,,,6,Breast Milk,,
465,03:27:45 04-08-2021,03:35:38 04-08-2021,Left Breast,,,,7,Breast Milk,,
464,00:26:40 04-08-2021,00:32:25 04-08-2021,Left Breast,,,,5,Breast Milk,,
463,21:33:45 04-07-2021,21:43:18 04-07-2021,Right Breast,,,,9,Breast Milk,,
462,18:38:58 04-07-2021,18:47:02 04-07-2021,Left Breast,,,,8,Breast Milk,,
461,16:04:01 04-07-2021,16:12:45 04-07-2021,Right Breast,,,,8,Breast Milk,,
460,13:06:55 04-07-2021,13:14:59 04-07-2021,Left Breast,,,,8,Breast Milk,,
459,09:46:16 04-07-2021,09:52:18 04-07-2021,Right Breast,,,,6,Breast Milk,,
458,07:38:42 04-07-2021,07:47:32 04-07-2021,Left Breast,,,,8,Breast Milk,,
456,04:51:17 04-07-2021,04:58:21 04-07-2021,Left Breast,,,,7,Breast Milk,,
455,01:33:01 04-07-2021,01:38:30 04-07-2021,Right Breast,,,,5,Breast Milk,,
454,01:18:04 04-07-2021,01:24:53 04-07-2021,Left Breast,,,,6,Breast Milk,,
452,20:46:37 04-06-2021,20:52:40 04-06-2021,Right Breast,,,,6,Breast Milk,,
453,20:40:37 04-06-2021,20:45:38 04-06-2021,Left Breast,,,,5,Breast Milk,,
451,19:59:10 04-06-2021,20:02:34 04-06-2021,Right Breast,,,,3,Breast Milk,,
450,19:48:28 04-06-2021,19:59:01 04-06-2021,Left Breast,,,,10,Breast Milk,,
449,17:36:40 04-06-2021,17:51:46 04-06-2021,Right Breast,,,,15,Breast Milk,,
448,15:34:19 04-06-2021,15:42:37 04-06-2021,Left Breast,,,,8,Breast Milk,,
447,12:35:15 04-06-2021,12:48:20 04-06-2021,Right Breast,,,,13,Breast Milk,,
446,10:10:32 04-06-2021,10:21:46 04-06-2021,Left Breast,,,,11,Breast Milk,,
445,07:42:20 04-06-2021,07:48:16 04-06-2021,Right Breast,,,,5,Breast Milk,,
444,04:58:06 04-06-2021,05:07:21 04-06-2021,Left Breast,,,,9,Breast Milk,,
443,01:09:25 04-06-2021,01:15:23 04-06-2021,Right Breast,,,,5,Breast Milk,,
442,21:14:03 04-05-2021,21:18:20 04-05-2021,Right Breast,,,,4,Breast Milk,,
441,20:59:04 04-05-2021,21:11:07 04-05-2021,Left Breast,,,,12,Breast Milk,,
439,17:36:05 04-05-2021,17:42:02 04-05-2021,Left Breast,,,,5,Breast Milk,,
440,17:20:15 04-05-2021,17:28:18 04-05-2021,Right Breast,,,,8,Breast Milk,,
438,14:37:54 04-05-2021,14:45:59 04-05-2021,Left Breast,,,,8,Breast Milk,,
437,11:26:20 04-05-2021,11:33:29 04-05-2021,Right Breast,,,,7,Breast Milk,,
436,11:17:30 04-05-2021,11:25:08 04-05-2021,Left Breast,,,,7,Breast Milk,,
435,08:47:41 04-05-2021,08:48:32 04-05-2021,Right Breast,,,,0,Breast Milk,,
434,08:36:57 04-05-2021,08:46:25 04-05-2021,Left Breast,,,,9,Breast Milk,,
433,04:52:10 04-05-2021,05:09:50 04-05-2021,Right Breast,,,,17,Breast Milk,,
432,00:47:15 04-05-2021,00:57:19 04-05-2021,Left Breast,,,,10,Breast Milk,,
431,21:14:38 04-04-2021,21:25:36 04-04-2021,Right Breast,,,,10,Breast Milk,,
430,19:15:17 04-04-2021,19:23:19 04-04-2021,Left Breast,,,,8,Breast Milk,,
429,19:05:01 04-04-2021,19:11:35 04-04-2021,Right Breast,,,,6,Breast Milk,,
427,17:21:24 04-04-2021,17:31:20 04-04-2021,Left Breast,,,,9,Breast Milk,,
426,14:31:53 04-04-2021,14:41:10 04-04-2021,Right Breast,,,,9,Breast Milk,,
425,14:19:59 04-04-2021,14:30:24 04-04-2021,Left Breast,,,,10,Breast Milk,,
424,12:14:49 04-04-2021,12:25:27 04-04-2021,Right Breast,,,,10,Breast Milk,,
423,10:11:04 04-04-2021,10:16:47 04-04-2021,Left Breast,,,,5,Breast Milk,,
422,08:15:37 04-04-2021,08:20:18 04-04-2021,Right Breast,,,,4,Breast Milk,,
421,08:03:27 04-04-2021,08:10:15 04-04-2021,Left Breast,,,,6,Breast Milk,,
420,06:43:39 04-04-2021,06:48:16 04-04-2021,Right Breast,,,,4,Breast Milk,,
419,05:37:56 04-04-2021,05:44:31 04-04-2021,Left Breast,,,,6,Breast Milk,,
418,02:27:17 04-04-2021,02:40:31 04-04-2021,Right Breast,,,,13,Breast Milk,,
417,02:23:42 04-04-2021,02:26:29 04-04-2021,Left Breast,,,,2,Breast Milk,,
416,23:36:26 04-03-2021,23:45:28 04-03-2021,Left Breast,,,,9,Breast Milk,,
415,23:07:57 04-03-2021,23:19:07 04-03-2021,Right Breast,,,,11,Breast Milk,,
414,20:27:24 04-03-2021,20:35:55 04-03-2021,Left Breast,,,,8,Breast Milk,,
413,19:54:41 04-03-2021,20:01:04 04-03-2021,Left Breast,,,,6,Breast Milk,,
412,18:27:19 04-03-2021,18:28:50 04-03-2021,Left Breast,,,,1,Breast Milk,,
411,18:14:27 04-03-2021,18:27:10 04-03-2021,Right Breast,,,,12,Breast Milk,,
410,16:01:18 04-03-2021,16:12:43 04-03-2021,Left Breast,,,,11,Breast Milk,,
409,14:48:56 04-03-2021,14:56:17 04-03-2021,Right Breast,,,,7,Breast Milk,,
408,12:55:38 04-03-2021,13:00:58 04-03-2021,Left Breast,,,,5,Breast Milk,,
407,10:13:56 04-03-2021,10:21:50 04-03-2021,Right Breast,,,,7,Breast Milk,,
406,08:54:38 04-03-2021,08:56:44 04-03-2021,Right Breast,,,,2,Breast Milk,,
405,08:44:54 04-03-2021,08:51:31 04-03-2021,Left Breast,,,,6,Breast Milk,,
404,06:04:58 04-03-2021,06:14:47 04-03-2021,Right Breast,,,,9,Breast Milk,,
403,03:26:29 04-03-2021,03:35:23 04-03-2021,Left Breast,,,,8,Breast Milk,,
402,00:31:04 04-03-2021,00:39:38 04-03-2021,Right Breast,,,,8,Breast Milk,,
401,00:28:20 04-03-2021,00:29:06 04-03-2021,Left Breast,,,,0,Breast Milk,,
400,20:28:26 04-02-2021,20:34:37 04-02-2021,Right Breast,,,,6,Breast Milk,,
399,20:22:13 04-02-2021,20:28:17 04-02-2021,Left Breast,,,,6,Breast Milk,,
398,19:04:33 04-02-2021,19:07:49 04-02-2021,Right Breast,,,,3,Breast Milk,,
397,18:54:08 04-02-2021,18:59:18 04-02-2021,Left Breast,,,,5,Breast Milk,,
396,17:08:28 04-02-2021,17:18:35 04-02-2021,Right Breast,,,,10,Breast Milk,,
395,16:59:39 04-02-2021,17:06:57 04-02-2021,Left Breast,,,,7,Breast Milk,,
394,14:34:14 04-02-2021,14:36:57 04-02-2021,Right Breast,,,,2,Breast Milk,,
393,14:23:12 04-02-2021,14:29:25 04-02-2021,Left Breast,,,,6,Breast Milk,,
392,11:47:44 04-02-2021,11:53:52 04-02-2021,Right Breast,,,,6,Breast Milk,,
390,08:54:13 04-02-2021,08:56:22 04-02-2021,Right Breast,,,,2,Breast Milk,,
389,08:42:43 04-02-2021,08:47:52 04-02-2021,Left Breast,,,,5,Breast Milk,,
388,06:29:34 04-02-2021,06:55:20 04-02-2021,Right Breast,,,,25,Breast Milk,,
387,03:26:33 04-02-2021,03:35:15 04-02-2021,Left Breast,,,,8,Breast Milk,,
386,00:34:22 04-02-2021,00:39:18 04-02-2021,Left Breast,,,,4,Breast Milk,,
385,23:58:08 04-01-2021,00:07:21 04-02-2021,Right Breast,,,,9,Breast Milk,,
384,20:16:38 04-01-2021,20:26:24 04-01-2021,Left Breast,,,,9,Breast Milk,,
383,17:49:49 04-01-2021,17:55:03 04-01-2021,Right Breast,,,,5,Breast Milk,,
382,17:41:26 04-01-2021,17:48:07 04-01-2021,Left Breast,,,,6,Breast Milk,,
381,16:04:41 04-01-2021,16:21:04 04-01-2021,Right Breast,,,,16,Breast Milk,,
380,13:57:54 04-01-2021,14:01:03 04-01-2021,Left Breast,,,,3,Breast Milk,,
379,13:20:27 04-01-2021,13:23:33 04-01-2021,Left Breast,,,,3,Breast Milk,,
378,13:13:23 04-01-2021,13:19:41 04-01-2021,Right Breast,,,,6,Breast Milk,,
377,08:44:57 04-01-2021,08:52:09 04-01-2021,Left Breast,,,,7,Breast Milk,,
376,08:35:35 04-01-2021,08:43:55 04-01-2021,Right Breast,,,,8,Breast Milk,,
375,06:07:15 04-01-2021,06:08:26 04-01-2021,Left Breast,,,,1,Breast Milk,,
374,05:55:58 04-01-2021,06:00:00 04-01-2021,Right Breast,,,,4,Breast Milk,,
373,03:56:35 04-01-2021,04:02:52 04-01-2021,Left Breast,,,,6,Breast Milk,,
372,02:43:27 04-01-2021,02:50:37 04-01-2021,Right Breast,,,,7,Breast Milk,,
371,00:00:24 04-01-2021,00:05:42 04-01-2021,Bottle,3.38,100,,5,Liquid,METRIC,Pump
370,20:22:38 03-31-2021,20:36:41 03-31-2021,Left Breast,,,,14,Breast Milk,,
369,19:59:56 03-31-2021,20:07:17 03-31-2021,Right Breast,,,,7,Breast Milk,,
368,18:49:05 03-31-2021,18:53:42 03-31-2021,Right Breast,,,,4,Breast Milk,,
367,18:40:37 03-31-2021,18:47:27 03-31-2021,Left Breast,,,,6,Breast Milk,,
366,16:37:20 03-31-2021,16:45:18 03-31-2021,Right Breast,,,,7,Breast Milk,,
365,16:24:45 03-31-2021,16:31:15 03-31-2021,Left Breast,,,,6,Breast Milk,,
364,13:20:03 03-31-2021,13:28:24 03-31-2021,Left Breast,,,,8,Breast Milk,,
363,13:12:11 03-31-2021,13:18:55 03-31-2021,Right Breast,,,,6,Breast Milk,,
362,10:55:21 03-31-2021,11:07:56 03-31-2021,Left Breast,,,,12,Breast Milk,,
361,08:26:42 03-31-2021,08:40:05 03-31-2021,Right Breast,,,,13,Breast Milk,,
360,06:46:40 03-31-2021,06:50:33 03-31-2021,Right Breast,,,,3,Breast Milk,,
359,04:33:35 03-31-2021,04:45:18 03-31-2021,Left Breast,,,,11,Breast Milk,,
357,02:42:37 03-31-2021,02:53:00 03-31-2021,Right Breast,,,,10,Breast Milk,,
356,23:18:37 03-30-2021,23:32:19 03-30-2021,Left Breast,,,,13,Breast Milk,,
355,20:25:16 03-30-2021,20:28:04 03-30-2021,Right Breast,,,,2,Breast Milk,,
354,19:45:41 03-30-2021,20:04:06 03-30-2021,Right Breast,,,,18,Breast Milk,,
353,19:07:52 03-30-2021,19:42:31 03-30-2021,Left Breast,,,,34,Breast Milk,,
352,16:45:45 03-30-2021,17:02:17 03-30-2021,Right Breast,,,,16,Breast Milk,,
351,14:48:25 03-30-2021,14:56:20 03-30-2021,Left Breast,,,,7,Breast Milk,,
350,13:45:24 03-30-2021,13:53:34 03-30-2021,Right Breast,,,,8,Breast Milk,,
349,10:40:43 03-30-2021,10:47:20 03-30-2021,Left Breast,,,,6,Breast Milk,,
347,08:41:36 03-30-2021,09:01:13 03-30-2021,Right Breast,,,,19,Breast Milk,,
346,06:07:59 03-30-2021,06:13:33 03-30-2021,Left Breast,,,,5,Breast Milk,,
345,05:33:21 03-30-2021,05:41:05 03-30-2021,Left Breast,,,,7,Breast Milk,,
344,02:48:33 03-30-2021,03:02:39 03-30-2021,Right Breast,,,,14,Breast Milk,,
343,23:39:27 03-29-2021,23:55:21 03-29-2021,Left Breast,,,,15,Breast Milk,,
342,21:37:45 03-29-2021,21:54:44 03-29-2021,Right Breast,,,,16,Breast Milk,,
341,20:12:46 03-29-2021,20:24:37 03-29-2021,Left Breast,,,,11,Breast Milk,,
340,19:22:45 03-29-2021,19:30:44 03-29-2021,Right Breast,,,,7,Breast Milk,,
339,19:09:18 03-29-2021,19:20:57 03-29-2021,Left Breast,,,,11,Breast Milk,,
338,16:27:17 03-29-2021,16:47:50 03-29-2021,Right Breast,,,,20,Breast Milk,,
337,13:17:17 03-29-2021,13:24:02 03-29-2021,Left Breast,,,,6,Breast Milk,,
336,11:12:36 03-29-2021,11:24:37 03-29-2021,Right Breast,,,,12,Breast Milk,,
335,09:04:52 03-29-2021,09:14:23 03-29-2021,Left Breast,,,,9,Breast Milk,,
334,06:32:48 03-29-2021,06:45:12 03-29-2021,Right Breast,,,,12,Breast Milk,,
333,03:25:56 03-29-2021,03:34:19 03-29-2021,Left Breast,,,,8,Breast Milk,,
332,01:43:14 03-29-2021,01:51:51 03-29-2021,Right Breast,,,,8,Breast Milk,,
331,00:40:30 03-29-2021,00:49:35 03-29-2021,Left Breast,,,,9,Breast Milk,,
330,20:45:41 03-28-2021,20:56:12 03-28-2021,Right Breast,,,,10,Breast Milk,,
329,17:34:05 03-28-2021,17:46:43 03-28-2021,Left Breast,,,,12,Breast Milk,,
328,15:32:25 03-28-2021,15:40:52 03-28-2021,Right Breast,,,,8,Breast Milk,,
327,12:53:24 03-28-2021,13:03:37 03-28-2021,Left Breast,,,,10,Breast Milk,,
326,12:10:33 03-28-2021,12:16:39 03-28-2021,Right Breast,,,,6,Breast Milk,,
325,09:14:50 03-28-2021,09:25:14 03-28-2021,Left Breast,,,,10,Breast Milk,,
324,06:05:11 03-28-2021,06:15:21 03-28-2021,Right Breast,,,,10,Breast Milk,,
323,01:57:18 03-28-2021,03:02:05 03-28-2021,Left Breast,,,,4,Breast Milk,,
321,00:55:10 03-28-2021,01:11:46 03-28-2021,Right Breast,,,,16,Breast Milk,,
322,22:12:52 03-27-2021,22:22:55 03-27-2021,Bottle,3.38,100,,10,Liquid,METRIC,Milk
319,18:30:56 03-27-2021,18:44:25 03-27-2021,Left Breast,,,,13,Breast Milk,,
318,16:40:09 03-27-2021,16:48:37 03-27-2021,Right Breast,,,,8,Breast Milk,,
317,14:19:47 03-27-2021,14:32:38 03-27-2021,Left Breast,,,,12,Breast Milk,,
316,10:52:34 03-27-2021,11:02:08 03-27-2021,Right Breast,,,,9,Breast Milk,,
314,08:38:18 03-27-2021,08:49:07 03-27-2021,Left Breast,,,,10,Breast Milk,,
313,05:55:34 03-27-2021,06:01:15 03-27-2021,Right Breast,,,,5,Breast Milk,,
312,04:22:47 03-27-2021,04:26:41 03-27-2021,Right Breast,,,,3,Breast Milk,,
311,01:35:11 03-27-2021,01:49:02 03-27-2021,Left Breast,,,,13,Breast Milk,,
310,01:08:22 03-27-2021,01:13:17 03-27-2021,Left Breast,,,,4,Breast Milk,,
309,20:42:39 03-26-2021,20:53:09 03-26-2021,Bottle,4.06,120,,10,Liquid,METRIC,Pump
308,17:17:56 03-26-2021,17:31:08 03-26-2021,Left Breast,,,,13,Breast Milk,,
307,14:48:50 03-26-2021,15:03:55 03-26-2021,Right Breast,,,,15,Breast Milk,,
306,12:11:15 03-26-2021,12:21:39 03-26-2021,Left Breast,,,,10,Breast Milk,,
305,08:49:09 03-26-2021,08:54:42 03-26-2021,Left Breast,,,,5,Breast Milk,,
304,08:36:17 03-26-2021,08:46:27 03-26-2021,Right Breast,,,,10,Breast Milk,,
303,06:08:23 03-26-2021,06:15:19 03-26-2021,Left Breast,,,,6,Breast Milk,,
302,05:00:04 03-26-2021,05:09:20 03-26-2021,Right Breast,,,,9,Breast Milk,,
301,04:40:44 03-26-2021,04:44:50 03-26-2021,Right Breast,,,,4,Breast Milk,,
300,02:15:36 03-26-2021,02:28:47 03-26-2021,Left Breast,,,,13,Breast Milk,,
299,00:00:16 03-26-2021,00:10:15 03-26-2021,Right Breast,,,,9,Breast Milk,,
298,20:38:08 03-25-2021,20:49:03 03-25-2021,Left Breast,,,,10,Breast Milk,,
297,20:04:15 03-25-2021,20:11:58 03-25-2021,Left Breast,,,,7,Breast Milk,,
296,18:09:36 03-25-2021,18:23:29 03-25-2021,Right Breast,,,,13,Breast Milk,,
295,16:43:59 03-25-2021,16:55:05 03-25-2021,Left Breast,,,,11,Breast Milk,,
294,14:57:14 03-25-2021,15:11:05 03-25-2021,Right Breast,,,,13,Breast Milk,,
293,11:20:47 03-25-2021,11:32:41 03-25-2021,Left Breast,,,,11,Breast Milk,,
292,08:51:29 03-25-2021,09:03:36 03-25-2021,Right Breast,,,,12,Breast Milk,,
291,06:32:24 03-25-2021,06:40:55 03-25-2021,Left Breast,,,,8,Breast Milk,,
290,05:11:28 03-25-2021,05:25:59 03-25-2021,Right Breast,,,,14,Breast Milk,,
289,03:08:30 03-25-2021,03:13:09 03-25-2021,Left Breast,,,,4,Breast Milk,,
288,01:21:14 03-25-2021,01:31:35 03-25-2021,Right Breast,,,,10,Breast Milk,,
287,23:42:52 03-24-2021,23:53:07 03-24-2021,Left Breast,,,,10,Breast Milk,,
286,21:47:17 03-24-2021,22:00:31 03-24-2021,Left Breast,,,,13,Breast Milk,,
285,18:41:02 03-24-2021,18:55:21 03-24-2021,Left Breast,,,,14,Breast Milk,,
284,16:37:57 03-24-2021,16:47:08 03-24-2021,Right Breast,,,,9,Breast Milk,,
283,14:39:48 03-24-2021,14:55:19 03-24-2021,Left Breast,,,,15,Breast Milk,,
282,12:33:36 03-24-2021,12:38:50 03-24-2021,Left Breast,,,,5,Breast Milk,,
281,10:01:10 03-24-2021,10:05:21 03-24-2021,Right Breast,,,,4,Breast Milk,,
280,08:19:48 03-24-2021,08:29:55 03-24-2021,Left Breast,,,,10,Breast Milk,,
279,06:01:12 03-24-2021,06:06:29 03-24-2021,Right Breast,,,,5,Breast Milk,,
278,05:27:48 03-24-2021,05:34:55 03-24-2021,Right Breast,,,,7,Breast Milk,,
277,02:25:38 03-24-2021,02:27:40 03-24-2021,Right Breast,,,,2,Breast Milk,,
276,00:29:37 03-24-2021,00:39:48 03-24-2021,Left Breast,,,,10,Breast Milk,,
275,20:06:31 03-23-2021,20:14:44 03-23-2021,Right Breast,,,,8,Breast Milk,,
274,18:38:01 03-23-2021,18:48:24 03-23-2021,Left Breast,,,,10,Breast Milk,,
273,16:33:51 03-23-2021,16:44:27 03-23-2021,Right Breast,,,,10,Breast Milk,,
272,14:00:02 03-23-2021,14:17:12 03-23-2021,Left Breast,,,,17,Breast Milk,,
271,11:01:08 03-23-2021,11:11:39 03-23-2021,Right Breast,,,,10,Breast Milk,,
269,08:38:53 03-23-2021,08:54:03 03-23-2021,Left Breast,,,,15,Breast Milk,,
268,06:04:17 03-23-2021,06:16:56 03-23-2021,Right Breast,,,,12,Breast Milk,,
267,04:35:28 03-23-2021,04:40:02 03-23-2021,Left Breast,,,,4,Breast Milk,,
